Client_ID,Total_Points,Fuel_Type,Lubricant_Amount_MAD,Shop_Amount_MAD,Restaurant_Amount_MAD,Butagaz_Units,Points_Redeemed,Estimated_Earned_Points,Loyalty_Ratio,Churned
C39,10753,V-Power,390,324,397,1,8453,6961.0,0.7861062029201153,0
C40,8933,V-Power,104,456,209,0,4452,11971.5,0.4983768051046681,0
C41,10733,V-Power Sans Plomb,61,194,470,3,9753,3475.0,0.9086928165470978,1
C42,11516,V-Power Diesel,6,184,467,0,3888,19727.0,0.33761722820423756,1
C43,3112,V-Power Sans Plomb,14,46,466,4,2886,1491.0,0.9273778920308483,1
C44,16287,V-Power Sans Plomb,124,175,388,4,8473,20622.0,0.5202308589672745,0
C45,17659,V-Power Diesel,413,956,287,0,7560,26903.5,0.4281103120221983,0
C46,12706,V-Power,19,391,377,3,8741,10999.5,0.6879427042342201,0
C47,8726,V-Power Diesel,450,457,345,1,5595,9179.5,0.6411872564749026,0
C48,15041,V-Power Sans Plomb,341,874,240,1,12939,6810.0,0.8602486536799415,1
C49,3652,FuelSave,367,792,169,4,2999,4993.0,0.8211938663745892,0
C50,2085,V-Power Sans Plomb,309,369,499,3,1412,3159.5,0.6772182254196643,0
C51,4443,V-Power,433,355,423,0,2673,5636.0,0.6016205266711682,0
C52,19957,V-Power Diesel,326,322,350,4,18936,3950.5,0.9488400060129278,1
C53,1521,FuelSave,94,487,403,1,673,5324.0,0.44247205785667326,0
C54,12153,V-Power Sans Plomb,432,986,300,0,10067,6933.0,0.8283551386488933,0
C55,11305,V-Power Sans Plomb,248,342,139,1,5823,14534.0,0.5150818222025653,0
C56,13917,V-Power Sans Plomb,305,619,424,3,8693,14708.0,0.6246317453474168,0
C57,8489,V-Power Diesel,258,222,241,4,2824,15283.5,0.33266580280362823,1
C58,10192,V-Power Diesel,373,609,237,2,4302,16144.0,0.42209576138147564,0
C59,13490,V-Power Sans Plomb,106,116,137,3,6504,18124.0,0.4821349147516679,0
C60,7373,V-Power Diesel,447,835,372,4,3041,12884.0,0.41245083412450834,0
C61,6175,FuelSave,246,971,489,2,2282,21371.0,0.36955465587044534,1
C62,661,FuelSave,45,496,385,3,512,1971.0,0.7745839636913767,0
C63,4797,V-Power,336,890,439,3,3462,5302.5,0.7217010631644778,0
C64,1495,V-Power Diesel,370,302,143,0,1017,2010.0,0.6802675585284281,0
C65,12034,V-Power Diesel,405,484,44,1,6558,14723.0,0.5449559581186638,0
C66,8129,V-Power Sans Plomb,435,628,430,0,2580,15365.5,0.3173822118341739,1
C67,1516,FuelSave,36,943,168,0,706,5197.0,0.4656992084432718,0
C68,9029,V-Power Diesel,124,52,299,4,5199,10450.0,0.5758112747812604,0
C69,17762,V-Power Diesel,59,786,381,1,11993,15748.5,0.6752054948767031,0
C70,9768,V-Power Diesel,450,956,369,2,6190,10920.0,0.6337018837018837,0
C71,12685,V-Power Sans Plomb,431,208,326,4,6644,16467.5,0.5237682301931416,0
C72,6831,FuelSave,413,537,185,3,2562,22780.0,0.3750548967940272,1
C73,9071,V-Power Diesel,215,214,182,0,3553,14406.0,0.3916877962738397,1
C74,7708,V-Power Diesel,96,856,466,1,6028,5718.0,0.7820446289569278,0
C75,5776,V-Power Sans Plomb,298,553,212,1,2856,8463.0,0.49445983379501385,0
C76,18946,V-Power,137,645,280,4,15537,9984.5,0.8200675604349204,0
C77,16948,V-Power Sans Plomb,326,250,498,4,12962,11439.0,0.7648100070804815,0
C78,16716,V-Power Diesel,463,723,498,0,7192,25494.0,0.4302464704474755,0
C79,8506,FuelSave,351,571,267,1,7403,6804.0,0.8703268281213261,1
C80,3068,FuelSave,1,452,401,3,1133,10829.0,0.36929595827900913,1
C81,2527,V-Power Diesel,71,988,448,4,1555,4337.0,0.6153541749109616,0
C82,3195,V-Power,462,674,488,3,2280,4211.5,0.7136150234741784,0
C83,15922,V-Power Sans Plomb,495,611,334,1,12957,8952.5,0.8137796759201106,0
C84,5758,V-Power Diesel,322,802,437,0,2028,10886.0,0.3522056269538034,1
C85,7236,V-Power Diesel,467,395,319,1,5270,6196.0,0.7283029297954671,0
C86,891,V-Power Diesel,225,857,190,0,703,1742.0,0.7890011223344556,0
C87,14486,V-Power Sans Plomb,238,636,14,0,12166,6688.0,0.8398453679414607,0
C88,13166,FuelSave,173,494,375,4,4902,42762.0,0.3723226492480632,1
C89,6392,V-Power Sans Plomb,372,214,68,2,4534,5499.0,0.7093241551939925,0
C90,4061,V-Power Diesel,168,940,208,3,1999,6771.0,0.49224328983009114,0
C91,6684,FuelSave,3,963,354,4,5344,8420.0,0.7995212447636146,0
C92,19983,V-Power,86,249,476,0,6386,34803.5,0.3195716358905069,1
C93,8892,V-Power Diesel,391,245,389,2,7919,3657.5,0.8905757984705354,1
C94,13567,FuelSave,9,391,156,0,5853,39126.0,0.431414461561141,0
C95,15765,FuelSave,112,282,409,1,10033,29563.0,0.6364097684744687,0
C96,19988,FuelSave,101,283,247,1,14264,29351.0,0.7136281769061437,0
C97,2954,V-Power Diesel,4,391,74,4,2380,2304.0,0.8056872037914692,0
C98,12337,V-Power,73,427,362,4,7062,14449.5,0.5724244143632974,0
C99,14539,FuelSave,89,949,128,0,8140,33161.0,0.5598734438407044,0
C100,19615,V-Power Diesel,112,781,463,4,17045,8181.0,0.8689778230945705,1
C101,11465,FuelSave,79,936,412,4,10885,4727.0,0.9494112516354122,1
C102,10262,V-Power Sans Plomb,120,453,203,1,9011,4003.5,0.8780939388033522,1
C103,5556,FuelSave,442,872,398,1,2489,17147.0,0.4479841612670986,0
C104,15448,V-Power Diesel,441,405,301,2,9556,16077.0,0.6185914034179182,0
C105,8610,FuelSave,406,920,191,4,3390,28017.0,0.39372822299651566,1
C106,14273,FuelSave,316,839,420,1,11245,16815.0,0.7878511875569256,0
C107,17912,V-Power Sans Plomb,400,230,438,1,12630,14373.0,0.7051138901295221,0
C108,1002,V-Power Sans Plomb,283,231,311,1,534,2095.0,0.5329341317365269,0
C109,7410,V-Power Diesel,145,734,73,2,6322,3872.0,0.8531713900134953,1
C110,13185,V-Power,307,131,144,4,5596,19954.5,0.42442169131588925,0
C111,706,V-Power,57,374,206,3,399,1704.5,0.5651558073654391,0
C112,18368,V-Power,168,465,254,1,8102,26652.0,0.4410932055749129,0
C113,16434,V-Power,202,290,113,0,13908,6920.0,0.8462942679810149,0
C114,17747,V-Power Diesel,225,370,472,0,14816,8394.5,0.8348453259705866,0
C115,19674,V-Power Diesel,493,372,199,3,10933,23216.5,0.5557080410694317,0
C116,9255,V-Power Sans Plomb,78,739,440,1,3341,16142.0,0.36099405726634254,1
C117,12883,V-Power Sans Plomb,256,464,277,3,9776,9064.5,0.7588294651866802,0
C118,18641,V-Power,352,362,134,4,14924,10540.5,0.8006008261359369,0
C119,15320,V-Power Sans Plomb,72,118,72,0,14473,2379.5,0.9447127937336814,1
C120,8074,V-Power Diesel,107,633,258,1,3291,13055.5,0.407604656923458,0
C121,6874,V-Power,144,353,437,4,2579,12071.5,0.3751818446319465,1
C122,2178,FuelSave,462,487,183,4,1413,5357.0,0.6487603305785123,0
C123,1559,FuelSave,259,915,191,4,703,6045.0,0.4509300833867864,0
C124,16698,FuelSave,100,943,264,3,5973,55232.0,0.3577075098814229,1
C125,10414,V-Power Sans Plomb,301,989,74,4,4421,16746.5,0.42452467831764934,0
C126,11317,V-Power,325,73,49,2,5984,13979.5,0.5287620394097375,0
C127,11421,FuelSave,5,372,70,2,5947,28017.0,0.5207074686980124,0
C128,10289,V-Power,338,227,312,3,9551,3022.0,0.928272912819516,1
C129,16812,V-Power Diesel,406,179,7,3,9878,18227.0,0.5875565072567214,0
C130,11752,FuelSave,93,805,374,0,9540,12332.0,0.8117767188563648,0
C131,3193,FuelSave,119,878,308,1,1173,11505.0,0.36736611337300346,1
C132,14431,FuelSave,384,815,74,3,4336,52048.0,0.30046427828979283,1
C133,4127,V-Power Diesel,200,244,490,2,1450,7826.5,0.3513448025199903,1
C134,16657,V-Power,188,812,418,1,13930,8335.5,0.8362850453262892,0
C135,10673,FuelSave,405,607,112,3,3536,37109.0,0.3313032886723508,1
C136,18547,FuelSave,192,373,176,4,17529,6231.0,0.9451124171024964,1
C137,10730,V-Power,378,337,151,3,5740,13641.0,0.5349487418452936,0
C138,16207,V-Power Sans Plomb,312,367,77,2,9859,16826.0,0.6083173937187635,0
C139,11994,V-Power Sans Plomb,419,288,262,1,9934,6219.0,0.8282474570618643,0
C140,1806,FuelSave,24,570,295,4,1679,1924.0,0.9296788482834994,1
C141,7276,FuelSave,15,526,178,4,4010,17449.0,0.5511269928532161,0
C142,9974,V-Power Sans Plomb,409,235,419,2,6843,9090.5,0.6860838179266092,0
C143,8026,V-Power Sans Plomb,219,427,161,4,5733,6939.5,0.7143035135808622,0
C144,6030,FuelSave,4,546,329,2,2773,17364.0,0.45986733001658375,0
C145,4248,V-Power,367,57,356,3,3114,3915.0,0.7330508474576272,0
C146,14045,V-Power Sans Plomb,149,791,180,2,13014,3897.5,0.9265930936276255,1
C147,1163,FuelSave,269,158,380,2,541,4117.0,0.4651762682717111,0
C148,2498,V-Power Diesel,456,762,66,3,1454,4194.0,0.5820656525220176,0
C149,8494,V-Power,461,31,160,0,7409,3364.5,0.8722627737226277,1
C150,18379,FuelSave,79,672,357,4,14086,22973.0,0.7664181946787094,0
C151,3804,V-Power Diesel,126,615,335,2,2567,4368.5,0.6748159831756047,0
C152,18737,V-Power Sans Plomb,477,107,245,3,7372,29541.5,0.39344612264503387,1
C153,14308,V-Power Diesel,223,634,241,2,11977,7125.5,0.8370841487279843,0
C154,7085,V-Power Diesel,325,490,359,2,6490,2861.5,0.9160197600564574,1
C155,18175,V-Power Diesel,272,361,321,0,9757,21999.0,0.5368363136176066,0
C156,12149,V-Power Sans Plomb,256,227,105,4,8345,10498.0,0.6868878096962713,0
C157,2136,V-Power Diesel,145,906,309,3,831,4922.5,0.3890449438202247,1
C158,17582,V-Power Sans Plomb,74,607,252,1,15587,6020.5,0.886531680127403,1
C159,5237,FuelSave,10,764,320,3,1908,18039.0,0.36433072369677294,1
C160,15055,V-Power Diesel,91,762,196,3,8523,17679.0,0.5661242112255065,0
C161,14377,V-Power,267,46,295,2,9334,13415.5,0.6492314112819086,0
C162,1354,FuelSave,161,450,335,4,512,5556.0,0.37813884785819796,1
C163,6355,V-Power Sans Plomb,79,496,447,0,5465,3247.0,0.8599527930763179,1
C164,7892,FuelSave,201,7,109,2,6614,6907.0,0.8380638621388748,0
C165,14449,V-Power Diesel,249,160,137,2,5955,21981.0,0.4121392483908921,0
C166,18591,V-Power Sans Plomb,244,230,465,4,6222,32261.5,0.3346780700338874,1
C167,6291,V-Power Diesel,365,338,13,2,4339,5796.0,0.6897154665395009,0
C168,5431,FuelSave,253,226,124,0,4971,2903.0,0.9153010495304732,1
C169,702,V-Power,102,808,458,3,357,2530.5,0.5085470085470085,0
C170,11947,FuelSave,391,775,50,0,10230,9801.0,0.8562819117770152,1
C171,13188,FuelSave,217,635,218,0,6639,33815.0,0.5034121929026387,0
C172,4889,V-Power Diesel,489,25,384,3,3896,3680.5,0.7968909797504602,0
C173,2827,V-Power,297,914,280,1,1937,3816.0,0.685178634594977,0
C174,8504,V-Power Diesel,233,363,121,1,4083,11869.5,0.4801269990592662,0
C175,19815,V-Power Diesel,141,442,481,1,18611,4174.0,0.9392379510471864,1
C176,8277,V-Power Diesel,434,648,21,2,7130,4170.5,0.8614232209737828,1
C177,697,V-Power Sans Plomb,392,357,35,4,286,2211.5,0.4103299856527977,0
C178,2430,V-Power Diesel,240,866,282,2,1549,3790.5,0.6374485596707818,0
C179,12274,V-Power,82,518,237,2,10929,4399.5,0.890418771386671,1
C180,15587,V-Power Diesel,353,963,20,0,14011,5276.0,0.8988901007249631,1
C181,9839,V-Power Diesel,366,261,414,1,5615,11701.0,0.5706880780567131,0
C182,12089,V-Power,421,97,476,0,8218,10671.5,0.6797915460335843,0
C183,19395,FuelSave,127,504,133,2,13704,29419.0,0.7065738592420727,0
C184,16208,V-Power Diesel,412,316,307,2,10896,14515.0,0.6722606120434353,0
C185,17543,FuelSave,284,242,346,3,13129,23242.0,0.7483896710938835,0
C186,3311,V-Power Diesel,27,15,335,0,1026,6089.5,0.3098761703412866,1
C187,14743,V-Power Diesel,239,713,135,0,9509,14172.0,0.6449840602319745,0
C188,7046,V-Power Sans Plomb,240,931,61,2,4799,7049.5,0.6810956571104173,0
C189,2486,V-Power,343,525,222,0,1884,2595.0,0.7578439259855189,0
C190,8838,V-Power,91,120,393,4,6275,7411.5,0.7100022629554198,0
C191,11911,FuelSave,105,390,454,1,4976,35724.0,0.41776509109226767,0
C192,3411,V-Power Sans Plomb,235,833,114,2,1843,5302.0,0.5403107593081208,0
C193,2234,V-Power Diesel,121,286,423,4,1278,3620.0,0.5720680393912265,0
C194,18727,V-Power Sans Plomb,75,540,207,4,13793,13557.0,0.7365301436428686,0
C195,9180,V-Power,338,442,34,3,6717,7271.5,0.7316993464052287,0
C196,19860,V-Power Diesel,261,848,469,1,15250,13203.0,0.7678751258811681,0
C197,18843,V-Power Diesel,257,463,468,4,13171,15768.0,0.6989863609828584,0
C198,6259,FuelSave,52,710,281,4,3485,15313.0,0.5567982105767695,0
C199,2885,V-Power Sans Plomb,255,241,495,3,1350,5128.5,0.4679376083188908,0
C200,11611,V-Power Diesel,369,590,73,3,4812,18329.5,0.41443458789079324,0
C201,5236,V-Power,358,411,327,4,2769,7663.5,0.528838808250573,0
C202,2302,FuelSave,286,827,319,1,1228,6902.0,0.5334491746307559,0
C203,8655,V-Power,36,509,364,2,6318,6951.5,0.7299826689774697,0
C204,8620,FuelSave,183,237,253,0,4156,22993.0,0.48213457076566124,0
C205,7116,V-Power Sans Plomb,117,517,215,0,2862,11484.0,0.40219224283305227,0
C206,14757,FuelSave,476,748,259,4,13776,6788.0,0.9335230737954869,1
C207,14986,V-Power Sans Plomb,167,133,70,2,4859,25887.5,0.32423595355665286,1
C208,17146,V-Power Sans Plomb,139,282,131,3,15611,4689.5,0.9104747462965123,1
C209,14575,V-Power Diesel,248,692,104,0,8370,16556.5,0.574271012006861,0
C210,9708,V-Power Sans Plomb,54,97,15,4,6441,8733.5,0.6634734239802225,0
C211,16871,FuelSave,224,77,363,1,13804,16099.0,0.8182087605951041,0
C212,12335,FuelSave,184,16,268,2,10909,7798.0,0.8843940008107013,1
C213,13668,V-Power Diesel,366,841,226,3,12982,3448.0,0.9498097746561311,1
C214,2549,FuelSave,172,368,177,0,1823,4347.0,0.7151824244801883,0
C215,5923,V-Power Sans Plomb,24,317,322,2,4220,5120.5,0.7124767854127976,0
C216,15089,FuelSave,169,321,415,2,6244,45330.0,0.41381138577771887,0
C217,19992,V-Power,145,717,2,1,12522,19639.0,0.6263505402160864,0
C218,7658,V-Power,157,567,351,2,5954,5535.0,0.7774875946722382,0
C219,10748,V-Power Diesel,273,276,94,1,9959,2715.5,0.9265909936732415,1
C220,7900,V-Power Sans Plomb,134,866,231,0,2564,14571.0,0.3245569620253165,1
C221,10374,FuelSave,78,347,37,4,8624,9612.0,0.8313090418353576,0
C222,15651,V-Power Diesel,285,243,194,1,12994,7464.5,0.8302344898089579,0
C223,19139,V-Power Diesel,388,446,493,4,11101,21822.0,0.580019854746852,0
C224,1654,V-Power Sans Plomb,196,547,294,4,926,3257.0,0.5598548972188634,0
C225,4999,V-Power Diesel,416,680,184,2,4589,2505.0,0.9179835967193438,1
C226,6795,V-Power,5,172,54,3,3698,8273.5,0.5442236938925681,0
C227,12683,V-Power Diesel,303,766,410,1,4250,22661.5,0.3350942206102657,1
C228,13374,FuelSave,359,948,15,1,11548,10552.0,0.8634664273964409,1
C229,18532,V-Power,387,959,387,3,16317,7570.5,0.8804770127347291,1
C230,6039,V-Power,140,851,305,1,3937,6651.0,0.6519291273389634,0
C231,10137,V-Power,498,646,230,4,9007,4599.0,0.8885271776659761,1
C232,16086,FuelSave,105,917,301,3,11566,24223.0,0.7190103195325127,0
C233,3057,V-Power Sans Plomb,281,108,122,0,1189,5181.0,0.388943408570494,1
C234,6092,V-Power Diesel,432,881,425,3,2495,11030.5,0.40955351280367697,0
C235,16982,V-Power Diesel,19,219,304,0,10184,17537.0,0.5996937934283358,0
C236,2700,V-Power,159,403,341,4,1677,3860.5,0.6211111111111111,0
C237,14672,V-Power,223,31,427,2,9131,14733.5,0.6223418756815703,0
C238,3461,V-Power Diesel,113,402,415,4,3176,2042.5,0.9176538572666859,1
C239,14707,FuelSave,484,795,71,3,9182,29275.0,0.6243285510301217,0
C240,12469,V-Power,107,216,301,3,9147,9229.0,0.7335792766059829,0
C241,3369,V-Power,249,853,345,2,2863,2912.0,0.8498070644108044,0
C242,17840,FuelSave,448,833,251,1,14900,16332.0,0.8352017937219731,0
C243,14492,V-Power Sans Plomb,472,724,248,1,10832,10694.0,0.7474468672370963,0
C244,6199,V-Power,472,709,203,2,5710,2806.5,0.9211163090821101,1
C245,4487,V-Power Sans Plomb,180,992,454,1,2266,7278.5,0.5050144862937375,0
C246,13946,FuelSave,64,553,292,3,12235,9764.0,0.8773124910368565,1
C247,1718,V-Power Diesel,130,493,470,0,862,3233.0,0.5017462165308498,0
C248,5235,V-Power Diesel,358,821,1,1,3456,5727.5,0.6601719197707736,0
C249,11796,V-Power Sans Plomb,404,834,450,1,4800,19278.0,0.4069175991861648,0
C250,5055,V-Power,298,575,196,1,3961,3904.0,0.7835806132542038,0
C251,9646,V-Power Diesel,280,535,336,0,6825,8203.5,0.7075471698113207,0
C252,8550,FuelSave,499,779,190,2,7737,5733.0,0.9049122807017543,1
C253,13257,V-Power,340,580,138,4,7574,15665.5,0.5713208116466773,0
C254,17929,V-Power Sans Plomb,366,981,251,4,10880,19620.5,0.6068380835517876,0
C255,7393,V-Power Sans Plomb,450,339,145,2,2573,13184.0,0.34803192208846206,1
C256,18577,V-Power Sans Plomb,487,992,176,1,14438,12102.5,0.7771976099477849,0
C257,14873,V-Power Sans Plomb,220,451,215,2,13833,3686.0,0.9300746318832784,1
C258,15065,FuelSave,418,665,211,0,12790,12669.0,0.8489877198805178,0
C259,3936,V-Power Diesel,85,15,141,4,2957,3088.5,0.751270325203252,0
C260,9254,V-Power Sans Plomb,150,979,405,2,7968,4949.0,0.8610330667819321,1
C261,11177,V-Power Diesel,268,739,405,4,5778,15309.5,0.5169544600518923,0
C262,6395,V-Power Diesel,481,146,473,4,4183,7030.0,0.6541047693510555,0
C263,17109,V-Power Sans Plomb,22,542,116,2,6370,27727.5,0.3723186626921503,1
C264,16136,V-Power,62,875,80,1,8834,19372.0,0.5474714923153198,0
C265,7522,V-Power Sans Plomb,98,770,24,0,3443,11089.5,0.4577240095719224,0
C266,9651,FuelSave,82,846,399,4,3179,34087.0,0.3293959175215004,1
C267,6100,V-Power,14,752,294,4,2201,11207.5,0.3608196721311475,1
C268,8496,V-Power Sans Plomb,116,503,477,3,8054,2501.0,0.9479755178907722,1
C269,9507,V-Power Diesel,462,54,468,1,8620,3301.5,0.9067003260755233,1
C270,13446,V-Power Diesel,243,906,29,0,10337,8950.5,0.7687788189796222,0
C271,5142,V-Power,281,783,226,4,3070,6870.0,0.5970439517697395,0
C272,11812,FuelSave,358,370,276,1,6585,27239.0,0.5574839146630545,0
C273,8179,V-Power Diesel,450,430,71,0,6048,6278.5,0.7394547010636997,0
C274,8708,FuelSave,336,550,170,1,3981,24791.0,0.4571658245291686,0
C275,19089,V-Power Diesel,93,106,220,0,9079,25444.0,0.4756142280894756,0
C276,11216,V-Power,60,630,222,3,9937,4409.5,0.8859664764621968,1
C277,17953,V-Power Sans Plomb,155,51,188,3,6499,29329.0,0.3620007798139587,1
C278,3944,V-Power Diesel,289,622,232,3,1377,7860.5,0.34913793103448276,1
C279,11257,V-Power,143,384,103,0,6611,12245.0,0.5872790263835835,0
C280,14934,V-Power,426,159,402,2,8517,17229.5,0.5703093611892326,0
C281,1560,V-Power Sans Plomb,232,376,19,3,886,2612.0,0.5679487179487179,0
C282,19211,V-Power Sans Plomb,138,71,430,0,11531,19839.0,0.600229035448441,0
C283,3920,V-Power,151,530,279,2,1994,5975.0,0.5086734693877552,0
C284,801,V-Power Diesel,470,698,63,4,350,2758.5,0.4369538077403246,0
C285,12968,FuelSave,408,345,403,3,4518,43706.0,0.34839605181986427,1
C286,17490,FuelSave,228,936,337,4,7023,54236.0,0.40154373927958836,0
C287,1199,V-Power Sans Plomb,76,980,359,2,385,3650.0,0.3211009174311927,1
C288,690,V-Power Diesel,402,115,64,0,365,1393.5,0.5289855072463768,0
C289,10992,V-Power,492,725,326,2,3456,20583.0,0.314410480349345,1
C290,17864,FuelSave,289,237,280,1,8939,45531.0,0.5003918495297806,0
C291,3475,FuelSave,373,10,345,3,1523,10788.0,0.438273381294964,0
C292,6602,V-Power Diesel,321,710,361,2,4859,5949.5,0.7359890942138746,0
C293,18068,V-Power,199,709,184,4,13040,14062.0,0.7217179543945096,0
C294,2316,V-Power Sans Plomb,132,408,330,2,1353,3477.5,0.5841968911917098,0
C295,1069,FuelSave,74,607,416,2,821,2537.0,0.7680074836295603,0
C296,5942,V-Power Diesel,321,416,232,3,3152,8244.0,0.5304611242006059,0
C297,2395,V-Power Sans Plomb,357,350,72,1,954,4481.5,0.3983298538622129,1
C298,19617,V-Power Diesel,181,655,444,0,6412,34292.5,0.32685935668043026,1
C299,4363,V-Power,253,931,427,1,1438,9023.5,0.32958973183589274,1
C300,13413,V-Power Diesel,479,528,382,3,8726,13406.5,0.6505628867516589,0
C301,7955,V-Power Sans Plomb,279,684,444,1,6629,4822.0,0.8333123821495915,0
C302,4514,V-Power,75,921,485,2,3126,5151.0,0.692512184315463,0
C303,11593,FuelSave,229,918,482,0,6034,29424.0,0.5204865004744242,0
C304,18570,V-Power Sans Plomb,335,227,174,2,12007,17343.5,0.6465805061927841,0
C305,3509,V-Power Diesel,178,940,461,0,3021,2799.0,0.8609290396124252,1
C306,17038,FuelSave,151,496,78,0,14328,14275.0,0.8409437727432797,0
C307,11229,V-Power,433,942,287,1,7968,9914.5,0.7095912369756879,0
C308,1909,V-Power Sans Plomb,360,240,212,3,1362,2479.5,0.7134625458355159,0
C309,12749,V-Power,437,695,235,4,7701,14387.0,0.6040473762648051,0
C310,1284,V-Power,272,778,360,1,1215,1682.5,0.9462616822429907,1
C311,8596,V-Power Diesel,479,371,387,4,6551,6749.5,0.7620986505351326,0
C312,8060,V-Power Diesel,467,233,494,3,5215,8606.5,0.6470223325062034,0
C313,13033,V-Power Diesel,496,626,320,2,11548,5354.5,0.8860584669684647,1
C314,7843,FuelSave,418,541,206,3,3334,24010.0,0.4250924391176846,0
C315,7706,FuelSave,29,792,413,3,2695,26589.0,0.3497274850765637,1
C316,6301,V-Power Diesel,174,865,369,1,2350,11385.5,0.3729566735438819,1
C317,19690,FuelSave,297,363,482,3,17978,10002.0,0.9130523108176739,1
C318,17421,V-Power Sans Plomb,277,148,345,3,5669,30450.0,0.32541185925033006,1
C319,6486,V-Power,30,129,1,1,4549,5102.5,0.7013567684242985,0
C320,18725,V-Power Diesel,50,706,303,2,16168,7651.5,0.8634445927903872,1
C321,11147,V-Power,164,260,261,4,6983,11495.0,0.626446577554499,0
C322,9216,V-Power,471,172,66,1,4308,13079.0,0.4674479166666667,0
C323,19834,V-Power,343,833,471,3,15902,11777.0,0.8017545628718362,0
C324,12823,V-Power Sans Plomb,396,734,69,1,11779,3909.0,0.9185837947438197,1
C325,5280,V-Power Sans Plomb,88,191,289,4,2068,8998.0,0.39166666666666666,1
C326,2868,FuelSave,123,278,130,0,2224,3751.0,0.7754532775453278,0
C327,12539,V-Power,158,461,374,4,9866,8075.5,0.7868251056703086,0
C328,7155,FuelSave,99,401,292,2,5057,11482.0,0.7067784765897973,0
C329,8673,V-Power,141,458,181,3,4319,11965.0,0.4979822437449556,0
C330,4995,V-Power Diesel,116,569,341,4,1880,9213.5,0.3763763763763764,1
C331,11393,V-Power,467,315,229,1,3677,20401.0,0.32274203458263845,1
C332,13903,V-Power,38,270,277,0,10803,8335.0,0.7770265410343091,0
C333,13621,V-Power Sans Plomb,347,84,367,0,9558,10955.5,0.7017105939358343,0
C334,11466,V-Power Diesel,472,452,385,4,5777,15931.5,0.503837432408861,0
C335,1353,FuelSave,165,834,133,0,616,4817.0,0.45528455284552843,0
C336,17458,V-Power Diesel,106,465,165,2,11027,17013.5,0.6316301981899416,0
C337,18032,V-Power Sans Plomb,330,519,323,4,5537,32809.5,0.3070652173913043,1
